logFC	AveExpr	t	P.Value	adj.P.Val	B	Bonf
PLEKHH1	4.65875088570009	8.39024999856672	43.0928473076413	2.54353530810559e-35	3.53890545867758e-33	70.6143678436644	2.12334327520655e-31
KCNH8	6.93318739967614	5.07479033773781	42.9930674152618	2.78707415664934e-35	3.81417951798504e-33	70.5123889720624	2.32664950597087e-31
GPSM2	4.62536861062141	4.57190634114187	42.9128704968503	3.00005802290726e-35	4.03943296374674e-33	70.4238978650599	2.50444843752298e-31
PIP4K2A	4.20302492279701	6.42657725222372	42.8125218952884	3.29024080435897e-35	4.30677140161634e-33	70.3584165600615	2.74669302347887e-31
CHD7	5.09802811768694	6.85773408237699	42.7898787967087	3.35960353925802e-35	4.31476466857322e-33	70.3370920520881	2.8045970345726e-31
PRIMA1	4.95902147042391	2.65746241263345	42.808718222557	3.30178928729571e-35	4.30677140161634e-33	70.3351651195079	2.75633369703446e-31
MICAL2	-3.59977125106483	7.31413664260292	-42.6656923846537	3.76757103541053e-35	4.76540651569804e-33	70.2064120257034	3.14516830036071e-31
SEPT4	3.3877542785576	7.38967046694735	42.5332862181055	4.25875227542595e-35	5.30627820824714e-33	70.0852780575267	3.55520639952558e-31
GPR37L1	5.15925443953958	2.83974891390413	42.1671142114569	5.98819626609917e-35	7.35139153373469e-33	69.7650274353802	4.99894624293959e-31
GLDN	4.19254002835339	6.27062278902204	41.9849079638101	7.10241596801373e-35	8.59289398564907e-33	69.5783281460026	5.92909685009786e-31
HIPK2	3.54435623298429	7.66799266582537	41.6357076446481	9.86966705009085e-35	1.17702829334512e-32	69.2618965890746	8.23919805341584e-31
FAM114A1	4.98602385939396	2.95202918940551	41.5389856136338	1.08164505197288e-34	1.27177083012248e-32	69.1707977499273	9.0295728938696e-31
CLMN	4.40739858076069	7.48567209323458	41.4958661823666	1.12680442315824e-34	1.28927823337425e-32	69.1442864472441	9.40656332452499e-31
C4orf50	-4.47670980846683	4.44845013217021	-41.4952874771831	1.12742346713369e-34	1.28927823337425e-32	69.1007966654236	9.41173110363204e-31
SLC1A3	6.52517205386917	4.34199713537551	41.2130200574878	1.47506380552416e-34	1.64415768412429e-32	68.8733372225324	1.23138326485157e-30
CD22	7.39084898146682	4.83606630772191	41.2115461772666	1.47714214553572e-34	1.64415768412429e-32	68.8720334347755	1.23311826309322e-30
RAPGEF3	4.14469081741212	6.23729265636238	41.129586222585	1.59756564110492e-34	1.75479973315051e-32	68.7820161578908	1.33364779719439e-30
PTPRN	-4.25562075025455	4.8980740125149	-40.9028152260816	1.98596180618898e-34	2.15309209845008e-32	68.5479946577433	1.65788091580656e-30
EFHD1	5.11725806455321	3.1410058082636	40.8529036425153	2.08372235481079e-34	2.23011720743083e-32	68.5184440863045	1.73949142179605e-30
ASPA	7.1076764037852	4.06984831837512	40.7990137092145	2.19482328322913e-34	2.31928921118946e-32	68.4799693490797	1.83223847683968e-30
KANK1	5.36934869063009	5.46497865057959	40.7195377496062	2.36985708563311e-34	2.47294586885815e-32	68.399165674979	1.97835669508652e-30
DLGAP2	-4.82769406308944	6.07681519865422	-40.4597766307921	3.04837789426884e-34	3.14171094584645e-32	68.1249484791263	2.54478586613563e-30
QKI	3.98447876972741	8.37976139920739	40.2058881525247	3.90473794644186e-34	3.9752137044996e-32	67.9015572390906	3.25967523768967e-30
COL9A2	7.00362250678811	3.92927677786932	40.1925763169438	3.95591869009027e-34	3.97879629215344e-32	67.8887379907832	3.30240092248736e-30
FAM107B	6.5744043223573	4.36167455130613	40.1156483612567	4.26544927970043e-34	4.23904411749276e-32	67.8205252517404	3.56079705869392e-30
PHLDB1	4.65474426058723	7.9440227450503	40.0969679746939	4.34428750043444e-34	4.26660141807373e-32	67.8005931262227	3.62661120536267e-30
SCD	5.38827463843633	5.62559112589032	39.989905287813	4.82583116173566e-34	4.68442308583364e-32	67.6937410921419	4.02860385381693e-30
XAF1	5.46557185213704	3.01865394176098	39.9134391362456	5.20295458944739e-34	4.99244424283986e-32	67.6175653478334	4.34342649127068e-30
FRYL	2.49242585146039	8.10268311565628	39.5932300423433	7.14072212124759e-34	6.77394866683806e-32	67.3055563912798	5.96107482681749e-30
RNF220	3.78695493325604	6.95712721453179	39.4522696449752	8.21492566464344e-34	7.70541566836443e-32	67.1644209206224	6.85781994484434e-30
S1PR5	4.41742191341252	2.30175827967571	39.4164635804207	8.51326804485929e-34	7.89652907094282e-32	67.1248651747535	7.10687616384854e-30
MBP	5.39302680344308	8.93189440392726	39.4036124513624	8.62303271158777e-34	7.91044803036645e-32	67.1228680896101	7.19850770763347e-30
NKX6-2	5.16557396926538	2.77053842821319	39.3816541358833	8.81395011772505e-34	7.99770169377921e-32	67.0951058984977	7.35788555827687e-30
BOK	4.67452144212429	3.53716002288817	39.2993999683516	9.56844268722787e-34	8.58896339279336e-32	67.0138908351816	7.98773595529783e-30
ABCA2	3.36256557688947	8.62162384898122	39.2188714464631	1.03712806363869e-33	9.21057986729337e-32	66.9320147227628	8.65794507525578e-30
RDX	2.36447476244295	7.22752860142937	39.1020808032998	1.16600808818517e-33	1.02461426528103e-31	66.8132587932254	9.7338355201698e-30
TSPAN15	5.37401271706535	3.34078178644521	39.0217297143677	1.26410471627007e-33	1.09517781496907e-31	66.7350635489099	1.05527461714225e-29
CNTN2	3.80262303993459	7.71096618560926	39.0151154045697	1.27254729338763e-33	1.09517781496907e-31	66.7346262995555	1.06232248051999e-29
